"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","New Brunswick","2016A000213","Total, industries","Kilotonnes","198","units","0","v1013973678","5.2","14856","","","","0"
"2017","New Brunswick","2016A000213","Total, industries","Kilotonnes","198","units","0","v1013973678","5.2","14368","","","","0"
"2018","New Brunswick","2016A000213","Total, industries","Kilotonnes","198","units","0","v1013973678","5.2","14416","","","","0"
"2019","New Brunswick","2016A000213","Total, industries","Kilotonnes","198","units","0","v1013973678","5.2","13689","","","","0"
"2020","New Brunswick","2016A000213","Total, industries","Kilotonnes","198","units","0","v1013973678","5.2","13242","","","","0"
"2016","New Brunswick","2016A000213","Total, households","Kilotonnes","198","units","0","v1013973789","5.115","4384","","","","0"
"2017","New Brunswick","2016A000213","Total, households","Kilotonnes","198","units","0","v1013973789","5.115","3740","","","","0"
"2018","New Brunswick","2016A000213","Total, households","Kilotonnes","198","units","0","v1013973789","5.115","3547","","","","0"
"2019","New Brunswick","2016A000213","Total, households","Kilotonnes","198","units","0","v1013973789","5.115","3259","","","","0"
"2020","New Brunswick","2016A000213","Total, households","Kilotonnes","198","units","0","v1013973789","5.115","2933","","","","0"
"2016","New Brunswick","2016A000213","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973792","5.118","14836","","","","0"
"2017","New Brunswick","2016A000213","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973792","5.118","13762","","","","0"
"2018","New Brunswick","2016A000213","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973792","5.118","13560","","","","0"
"2019","New Brunswick","2016A000213","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973792","5.118","13148","","","","0"
"2020","New Brunswick","2016A000213","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973792","5.118","12441","","","","0"
"2016","New Brunswick","2016A000213","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973793","5.119","-4404","","","","0"
